epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.4109,0.69757,0.43354,1,0.76755,0.00020004,0.00020004,0.00020004
2,44.2511,0.53242,0.56646,1,0.66842,0.000402997,0.000402997,0.000402997
3,65.3844,0.40492,0.64213,1,0.62339,0.000591652,0.000591652,0.000591652
4,84.9941,0.23808,0.74642,1,0.56615,0.000766003,0.000766003,0.000766003
5,105.267,0.15168,0.73824,1,0.58057,0.000926052,0.000926052,0.000926052
6,124.991,0.08931,0.82618,1,0.4762,0.0010718,0.0010718,0.0010718
7,145.194,0.12749,0.85072,1,0.45915,0.00120324,0.00120324,0.00120324
8,167.789,0.07256,0.75665,1,0.93895,0.00128192,0.00128192,0.00128192
9,190.125,0.154,0.74029,1,0.97832,0.00122691,0.00122691,0.00122691
10,211.746,0.10013,0.79755,1,0.60325,0.0011719,0.0011719,0.0011719
11,233.57,0.14772,0.82004,1,0.54753,0.00111689,0.00111689,0.00111689
12,255.768,0.11667,0.83845,1,0.48735,0.00106188,0.00106188,0.00106188
13,276.457,0.11222,0.82004,1,0.50598,0.00100687,0.00100687,0.00100687
14,298.338,0.04819,0.82618,1,0.47119,0.000951857,0.000951857,0.000951857
15,318.826,0.09413,0.82413,1,0.51373,0.000896846,0.000896846,0.000896846
16,340.278,0.04133,0.83231,1,0.52206,0.000841835,0.000841835,0.000841835
17,361.931,0.05081,0.84049,1,0.47381,0.000786824,0.000786824,0.000786824
