epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.0279,0.42395,0.94329,1,0.1803,0.000550876,0.000550876,0.000550876
2,98.3443,0.17987,0.95841,1,0.11255,0.00108463,0.00108463,0.00108463
3,147.965,0.24233,0.93195,1,0.17603,0.00159639,0.00159639,0.00159639
4,195.747,0.21575,0.95463,1,0.1355,0.00156798,0.00156798,0.00156798
5,245.365,0.20842,0.94518,1,0.14992,0.00153497,0.00153497,0.00153497
6,296.766,0.16614,0.96975,1,0.11337,0.00150197,0.00150197,0.00150197
7,345.562,0.16728,0.94707,1,0.13049,0.00146896,0.00146896,0.00146896
8,394.278,0.1414,0.94707,1,0.14741,0.00143595,0.00143595,0.00143595
9,442.581,0.14083,0.97164,1,0.09461,0.00140295,0.00140295,0.00140295
10,490.766,0.12601,0.96408,1,0.09829,0.00136994,0.00136994,0.00136994
11,538.883,0.13358,0.96597,1,0.10576,0.00133693,0.00133693,0.00133693
12,587.565,0.10862,0.96786,1,0.08348,0.00130393,0.00130393,0.00130393
13,635.447,0.11409,0.97164,1,0.08597,0.00127092,0.00127092,0.00127092
14,683.21,0.09756,0.97164,1,0.10193,0.00123791,0.00123791,0.00123791
15,730.872,0.11238,0.97354,1,0.10269,0.00120491,0.00120491,0.00120491
16,778.496,0.09596,0.96975,1,0.0973,0.0011719,0.0011719,0.0011719
17,826.29,0.10176,0.96786,1,0.09737,0.00113889,0.00113889,0.00113889
18,873.871,0.09532,0.9603,1,0.11662,0.00110589,0.00110589,0.00110589
19,921.517,0.08352,0.96786,1,0.09344,0.00107288,0.00107288,0.00107288
20,969.379,0.07777,0.96597,1,0.08631,0.00103987,0.00103987,0.00103987
21,1016.9,0.06271,0.97732,1,0.07681,0.00100687,0.00100687,0.00100687
22,1064.47,0.04989,0.96975,1,0.09045,0.000973861,0.000973861,0.000973861
23,1112.01,0.05901,0.96975,1,0.07411,0.000940855,0.000940855,0.000940855
24,1159.86,0.04722,0.97164,1,0.07628,0.000907848,0.000907848,0.000907848
25,1207.78,0.06458,0.96408,1,0.0913,0.000874842,0.000874842,0.000874842
26,1255.35,0.04897,0.96975,1,0.10754,0.000841835,0.000841835,0.000841835
27,1302.9,0.0562,0.97921,1,0.09257,0.000808828,0.000808828,0.000808828
28,1350.5,0.04404,0.97543,1,0.09168,0.000775822,0.000775822,0.000775822
29,1398.15,0.04065,0.97354,1,0.10212,0.000742815,0.000742815,0.000742815
30,1445.92,0.03565,0.96786,1,0.11363,0.000709809,0.000709809,0.000709809
31,1493.66,0.03133,0.96975,1,0.10385,0.000676802,0.000676802,0.000676802
32,1541.66,0.03283,0.96786,1,0.11521,0.000643795,0.000643795,0.000643795
33,1589.19,0.04398,0.9811,1,0.0855,0.000610789,0.000610789,0.000610789
34,1636.73,0.03776,0.97732,1,0.0789,0.000577782,0.000577782,0.000577782
35,1684.57,0.03627,0.97732,1,0.08131,0.000544776,0.000544776,0.000544776
36,1732.16,0.04174,0.97921,1,0.07523,0.000511769,0.000511769,0.000511769
37,1779.98,0.03179,0.98488,1,0.07773,0.000478762,0.000478762,0.000478762
38,1827.63,0.03736,0.98299,1,0.06817,0.000445756,0.000445756,0.000445756
39,1875.28,0.03227,0.97732,1,0.07586,0.000412749,0.000412749,0.000412749
40,1922.71,0.02687,0.97732,1,0.08607,0.000379743,0.000379743,0.000379743
41,1970.44,0.02345,0.9811,1,0.06995,0.000346736,0.000346736,0.000346736
42,2018.13,0.02117,0.97732,1,0.06336,0.000313729,0.000313729,0.000313729
43,2065.73,0.01962,0.97543,1,0.07043,0.000280723,0.000280723,0.000280723
44,2113.44,0.0306,0.97354,1,0.06875,0.000247716,0.000247716,0.000247716
45,2160.97,0.02023,0.97732,1,0.07692,0.00021471,0.00021471,0.00021471
46,2208.49,0.02002,0.98299,1,0.07385,0.000181703,0.000181703,0.000181703
47,2255.94,0.01735,0.96786,1,0.08685,0.000148696,0.000148696,0.000148696
